age,2015_city+village_all_younger,2015_city+village_all_older,2015_city+village_men_younger,2015_city+village_men_older,2015_city+village_women_younger,2015_city+village_women_older,2015_city_all_younger,2015_city_all_older,2015_city_men_younger,2015_city_men_older,2015_city_women_younger,2015_city_women_older,2015_village_all_younger,2015_village_all_older,2015_village_men_younger,2015_village_men_older,2015_village_women_younger,2015_village_women_older,2001_city+village_all_younger,2001_city+village_all_older,2001_city+village_men_younger,2001_city+village_men_older,2001_city+village_women_younger,2001_city+village_women_older,2001_city_all_younger,2001_city_all_older,2001_city_men_younger,2001_city_men_older,2001_city_women_younger,2001_city_women_older,2001_village_all_younger,2001_village_all_older,2001_village_men_younger,2001_village_men_older,2001_village_women_younger,2001_village_women_older
0,98.91,0,98.795,0,99.021,0,98.972,0,98.845,0,99.079,0,98.794,0,98.68,0,98.89,0,99.25,0,99.176,0,99.326,0,99.318,0,99.242,0,99.384,0,99.132,0,99.04,0,99.20,0
1,97.81,1.0829,97.567,1.2046,98.026,0.9780,97.917,1.0276,97.658,1.1544,98.137,0.9201,97.585,1.2050,97.37,1.312,97.77,1.109,98.46,0.7427,98.292,0.8236,98.610,0.6731,98.604,0.6811,98.444,0.7575,98.742,0.6156,98.176,0.8674,97.98,0.956,98.33,0.790
2,96.67,2.1859,96.297,2.4326,96.998,1.9735,96.825,2.0824,96.428,2.3415,97.162,1.8627,96.339,2.4147,96.01,2.628,96.62,2.224,97.65,1.5366,97.400,1.7071,97.881,1.3899,97.883,1.3950,97.639,1.5559,98.091,1.2571,97.205,1.8232,96.92,2.010,97.45,1.660
3,95.57,3.3260,95.071,3.7028,96.005,3.0014,95.771,3.1744,95.243,3.5717,96.218,2.8377,95.135,3.6608,94.70,3.984,95.52,3.371,96.80,2.3407,96.454,2.5992,97.102,2.1182,97.115,2.1167,96.789,2.3602,97.395,1.9080,96.169,2.7940,95.78,3.079,96.50,2.546
4,94.48,4.4267,93.859,4.9288,95.022,3.9942,94.726,4.2285,94.068,4.7562,95.283,3.7813,93.948,4.8645,93.40,5.299,94.43,4.476,95.90,3.1973,95.462,3.5453,96.287,2.8977,96.309,2.8843,95.893,3.2104,96.666,2.6049,95.089,3.8306,94.59,4.218,95.51,3.493
5,93.36,5.5160,92.607,6.1409,94.011,4.9777,93.638,5.2737,92.844,5.9313,94.312,4.7164,92.750,6.0512,92.09,6.591,93.33,5.569,94.94,4.0940,94.394,4.5377,95.415,3.7120,95.437,3.6904,94.925,4.1064,95.876,3.3339,93.942,4.9106,93.32,5.404,94.47,4.481
6,92.24,6.6382,91.362,7.3927,93.004,5.9882,92.547,6.3613,91.617,7.1559,93.336,5.6878,91.574,7.2498,90.81,7.901,92.25,6.667,93.94,5.0568,93.283,5.6050,94.505,4.5849,94.527,4.5624,93.913,5.0748,95.053,4.1233,92.751,6.0570,92.01,6.670,93.38,5.524
7,91.21,7.7554,90.216,8.6375,92.070,6.9955,91.543,7.4522,90.491,8.3826,92.435,6.6635,90.480,8.4251,89.62,9.185,91.24,7.746,92.89,6.0598,92.127,6.7160,93.559,5.4949,93.578,5.4722,92.857,6.0861,94.197,4.9461,91.518,7.2486,90.66,7.981,92.26,6.612
8,90.20,8.7874,89.099,9.7832,91.155,7.9296,90.559,8.4561,89.391,9.5082,91.550,7.5644,89.419,9.5191,88.47,10.37,90.26,8.755,91.78,7.1026,90.900,7.8724,92.553,6.4400,92.560,6.4213,91.725,7.1428,93.276,5.8029,90.227,8.4812,89.24,9.338,91.08,7.736
9,89.27,9.7955,88.061,10.900,90.313,8.8441,89.648,9.4400,88.367,10.608,90.734,8.4495,88.438,10.580,87.40,11.52,89.36,9.736,90.59,8.2112,89.580,9.0995,91.475,7.4466,91.454,7.4394,90.495,8.2745,92.275,6.7236,88.868,9.7729,87.74,10.75,89.84,8.918
10,88.33,10.728,87.022,11.938,89.466,9.6865,88.733,10.351,87.342,11.632,89.912,9.2658,87.456,11.561,86.33,12.59,88.45,10.63,89.31,9.4010,88.161,10.419,90.313,8.5246,90.237,8.5458,89.138,9.5045,91.178,7.7242,87.458,11.131,86.19,12.25,88.55,10.15
11,87.44,11.664,86.031,12.977,88.656,10.533,87.875,11.266,86.382,12.657,89.140,10.087,86.484,12.543,85.27,13.66,87.56,11.54,87.97,10.681,86.672,11.838,89.096,9.6860,88.940,9.7629,87.695,10.861,90.007,8.8213,86.022,12.541,84.61,13.80,87.24,11.44
12,86.58,12.558,85.079,13.968,87.885,11.343,87.072,12.124,85.480,13.617,88.421,10.859,85.515,13.515,84.21,14.72,86.67,12.43,86.57,12.024,85.118,13.327,87.822,10.903,87.564,11.059,86.168,12.304,88.761,9.9927,84.561,13.977,83.00,15.38,85.91,12.75
13,85.76,13.413,84.164,14.920,87.142,12.114,86.307,12.927,84.621,14.519,87.735,11.578,84.566,14.484,83.18,15.78,85.80,13.32,85.06,13.428,83.455,14.881,86.455,12.177,86.075,12.435,84.518,13.831,87.409,11.238,83.029,15.438,81.31,16.99,84.51,14.08
14,84.91,14.235,83.223,15.835,86.376,12.857,85.553,13.692,83.775,15.378,87.059,12.264,83.513,15.433,82.03,16.81,84.83,14.19,83.51,14.932,81.733,16.544,85.046,13.544,84.534,13.924,82.807,15.481,86.014,12.590,81.449,16.970,79.57,18.68,83.07,15.48
15,84.05,15.082,82.272,16.776,85.599,13.623,84.781,14.446,82.912,16.224,86.365,12.940,82.465,16.486,80.89,17.96,83.86,15.16,81.86,16.486,79.915,18.266,83.547,14.953,82.847,15.465,80.949,17.192,84.473,13.985,79.885,18.550,77.83,20.42,81.66,16.92
16,83.14,15.940,81.264,17.727,84.767,14.400,83.952,15.218,81.993,17.087,85.613,13.634,81.364,17.534,79.69,19.10,82.85,16.13,80.26,18.132,78.152,20.084,82.091,16.452,81.177,17.152,79.115,19.050,82.944,15.526,78.432,20.114,76.21,22.16,80.35,18.33
17,82.19,16.853,80.208,18.735,83.900,15.232,83.038,16.047,80.983,18.006,84.781,14.386,80.321,18.635,78.54,20.30,81.90,17.14,78.62,19.730,76.338,21.847,80.594,17.908,79.349,18.822,77.129,20.884,81.253,17.055,77.160,21.567,74.74,23.78,79.25,19.64
18,81.15,17.808,79.056,19.791,82.960,16.099,82.018,16.961,79.851,19.016,83.854,15.218,79.244,19.678,77.34,21.45,80.93,18.09,76.95,21.374,74.495,23.661,79.078,19.405,77.430,20.650,74.992,22.870,79.520,18.746,76.003,22.839,73.49,25.25,78.18,20.74
19,80.06,18.846,77.848,20.943,81.979,17.039,80.957,17.981,78.665,20.148,82.900,16.145,78.103,20.755,76.09,22.65,79.89,19.06,75.44,23.041,72.814,25.504,77.706,20.921,75.721,22.569,73.064,25.007,77.998,20.479,74.881,23.996,72.31,26.50,77.11,21.81
20,78.93,19.931,76.588,22.151,80.960,18.020,79.852,19.042,77.425,21.334,81.909,17.099,76.917,21.896,74.79,23.90,78.81,20.10,73.96,24.556,71.189,27.185,76.352,22.293,74.097,24.278,71.283,26.935,76.510,22.001,73.694,25.118,71.00,27.68,76.03,22.88
21,77.74,21.062,75.260,23.411,79.879,19.039,78.692,20.147,76.126,22.574,80.868,18.090,75.641,23.082,73.39,25.20,77.64,21.18,72.45,26.035,69.532,28.810,74.969,23.647,72.458,25.902,69.490,28.716,75.001,23.489,72.446,26.305,69.61,28.99,74.90,23.96
22,76.46,22.257,73.836,24.739,78.719,20.120,77.461,21.307,74.750,23.873,79.759,19.131,74.247,24.358,71.87,26.60,76.36,22.35,71.01,27.545,67.958,30.467,73.654,25.030,70.931,27.541,67.827,30.509,73.592,24.998,71.197,27.553,68.22,30.38,73.78,25.09
23,75.09,23.539,72.319,26.163,77.481,21.280,76.143,22.538,73.279,25.249,78.570,20.240,72.772,25.752,70.25,28.12,75.01,23.63,69.59,28.980,66.399,32.041,72.339,26.345,69.424,29.068,66.191,32.172,72.194,26.407,69.930,28.802,66.81,31.77,72.63,26.21
24,73.65,24.907,70.730,27.680,76.181,22.518,74.746,23.856,71.727,26.720,77.304,21.429,71.257,27.227,68.58,29.74,73.64,24.98,68.20,30.408,64.892,33.600,71.059,27.660,67.968,30.575,64.618,33.808,70.839,27.805,68.689,30.069,65.44,33.18,71.50,27.36
25,72.16,26.341,69.074,29.269,74.819,23.818,73.266,25.253,70.095,28.272,75.954,22.695,69.719,28.742,66.88,31.41,72.25,26.35,66.74,31.793,63.301,35.107,69.706,28.940,66.425,32.031,62.950,35.381,69.403,29.160,67.387,31.310,64.00,34.55,70.32,28.49
26,70.57,27.838,67.321,30.925,73.371,25.180,71.672,26.733,68.346,29.904,74.491,24.045,68.139,30.280,65.11,33.11,70.83,27.74,65.31,33.256,61.758,36.698,68.381,30.293,64.931,33.574,61.343,37.049,68.007,30.596,66.099,32.612,62.59,35.99,69.14,29.67
27,68.93,29.428,65.512,32.678,71.876,26.628,70.022,28.327,66.538,31.653,72.975,25.508,66.521,31.860,63.30,34.88,69.38,29.16,63.91,34.681,60.245,38.241,67.078,31.618,63.476,35.068,59.782,38.656,66.643,31.992,64.809,33.900,61.17,37.40,67.96,30.85
28,67.19,31.068,63.598,34.487,70.285,28.123,68.221,29.977,64.577,33.461,71.310,27.024,64.913,33.478,61.49,36.69,67.96,30.61,62.55,36.082,58.778,39.754,65.809,32.921,62.071,36.523,58.280,40.217,65.321,33.356,63.539,35.190,59.78,38.82,66.80,32.03
29,65.50,32.808,61.748,36.401,68.737,29.714,66.444,31.778,62.650,35.422,69.660,28.689,63.425,35.086,59.81,38.50,66.65,32.03,61.15,37.442,57.269,41.221,64.493,34.190,60.617,37.928,56.735,41.719,63.944,34.678,62.233,36.460,58.34,40.21,65.61,33.19
30,63.77,34.496,59.855,38.251,67.155,31.262,64.564,33.555,60.617,37.349,67.910,30.339,62.037,36.574,58.21,40.18,65.44,33.34,59.76,38.848,55.771,42.730,63.193,35.506,59.176,39.382,55.210,43.264,62.576,36.055,60.940,37.766,56.89,41.65,64.44,34.38
31,62.02,36.222,57.942,40.144,65.549,32.844,62.611,35.435,58.457,39.382,66.132,32.089,60.743,37.962,56.83,41.78,64.23,34.55,58.38,40.239,54.291,44.228,61.904,36.806,57.752,40.823,53.706,44.789,61.221,37.423,59.656,39.059,55.46,43.10,63.29,35.55
32,60.43,37.970,56.200,42.057,64.090,34.450,60.855,37.388,56.491,41.542,64.553,33.867,59.520,39.256,55.57,43.16,63.04,35.76,57.10,41.617,52.921,45.708,60.698,38.095,56.444,42.247,52.339,46.293,59.963,38.778,58.429,40.343,54.09,44.53,62.19,36.70
33,58.89,39.560,54.530,43.799,62.662,35.909,59.194,39.144,54.691,43.508,63.010,35.446,58.248,40.479,54.18,44.42,61.87,36.95,55.79,42.898,51.531,47.078,59.471,39.301,55.124,43.555,50.967,47.660,58.687,40.036,57.163,41.570,52.66,45.90,61.06,37.80
34,57.32,41.100,52.825,45.469,61.202,37.337,57.511,40.805,52.877,45.308,61.438,36.989,56.917,41.751,52.71,45.81,60.66,38.12,54.50,44.201,50.159,48.468,58.250,40.528,53.814,44.875,49.615,49.032,57.413,41.312,55.909,42.836,51.25,47.33,59.95,38.93
35,55.84,42.673,51.221,47.174,59.821,38.797,55.944,42.488,51.197,47.122,59.968,38.561,55.614,43.082,51.27,47.28,59.48,39.33,53.17,45.492,48.745,49.840,56.983,41.749,52.452,46.185,48.213,50.384,56.084,42.586,54.631,44.090,49.81,48.74,58.81,40.04
36,54.36,44.157,49.640,48.778,58.441,40.178,54.395,44.055,49.542,48.802,58.508,40.031,54.310,44.385,49.85,48.72,58.29,40.51,51.84,46.827,47.350,51.254,55.720,43.016,51.080,47.547,46.806,51.786,54.742,43.915,53.404,45.368,48.44,50.18,57.71,41.18
37,52.94,45.631,48.120,50.359,57.100,41.558,52.907,45.604,47.961,50.457,57.099,41.491,53.028,45.689,48.46,50.14,57.10,41.70,50.45,48.151,45.881,52.649,54.383,44.279,49.627,48.919,45.322,53.193,53.317,45.257,52.115,46.595,47.00,51.55,56.55,42.28
38,51.44,47.054,46.522,51.879,55.687,42.899,51.338,47.092,46.291,52.038,55.616,42.900,51.683,46.971,47.01,51.53,55.84,42.89,48.95,49.549,44.315,54.118,52.948,45.616,48.070,50.372,43.737,54.677,51.783,46.682,50.745,47.884,45.47,52.99,55.32,43.44
39,49.97,48.554,44.968,53.477,54.292,44.312,49.815,48.661,44.684,53.708,54.164,44.383,50.335,48.316,45.57,52.98,54.58,44.15,47.42,51.044,42.715,55.684,51.471,47.051,46.462,51.929,42.111,56.262,50.192,48.216,49.359,49.254,43.93,54.52,54.07,44.67
40,48.54,50.022,43.462,55.031,52.931,45.707,48.351,50.184,43.142,55.315,52.766,45.835,48.986,49.664,44.14,54.42,53.30,45.41,45.83,52.578,41.058,57.284,49.940,48.528,44.788,53.537,40.416,57.888,48.536,49.807,47.942,50.640,42.34,56.06,52.79,45.92
41,47.15,51.450,41.996,56.537,51.603,47.068,46.936,51.648,41.654,56.857,51.413,47.233,47.646,51.013,42.73,55.85,52.03,46.69,44.17,54.168,39.332,58.941,48.341,50.059,43.035,55.211,38.638,59.583,46.804,51.463,46.476,52.057,40.72,57.65,51.46,47.20
42,45.72,52.842,40.495,58.003,50.228,48.396,45.480,53.063,40.136,58.345,50.009,48.586,46.263,52.353,41.26,57.26,50.72,47.96,42.58,55.826,37.691,60.667,46.798,51.658,41.361,56.964,36.960,61.361,45.133,53.195,45.062,53.523,39.16,59.27,50.18,48.53
43,44.30,54.275,39.007,59.504,48.867,49.771,44.042,54.519,38.643,59.863,48.618,49.990,44.883,53.736,39.78,58.73,49.43,49.27,41.00,57.414,36.062,62.308,45.262,53.201,39.689,58.638,35.288,63.039,43.461,54.866,43.671,54.937,37.61,60.83,48.92,49.81
44,42.89,55.695,37.537,60.992,47.517,51.132,42.622,55.957,37.173,61.356,47.240,51.381,43.510,55.116,38.31,60.21,48.14,50.56,39.48,58.993,34.496,63.937,43.773,54.737,38.081,60.310,33.687,64.711,41.848,56.538,42.315,56.328,36.12,62.38,47.69,51.07
45,41.60,57.101,36.198,62.462,46.267,52.482,41.335,57.377,35.859,62.826,45.977,52.759,42.208,56.489,36.92,61.68,46.92,51.85,37.96,60.518,32.954,65.503,42.286,56.226,36.462,61.918,32.084,66.312,40.215,58.151,41.018,57.684,34.70,63.87,46.50,52.30
46,40.29,58.392,34.845,63.801,44.994,53.732,40.044,58.664,34.553,64.140,44.699,54.022,40.857,57.791,35.47,63.07,45.66,53.07,36.53,62.030,31.497,67.045,40.871,57.713,34.934,63.537,30.574,67.915,38.671,59.784,39.774,58.981,33.35,65.29,45.35,53.49
47,39.00,59.701,33.524,65.154,43.731,55.005,38.775,59.955,33.283,65.446,43.430,55.300,39.521,59.142,34.04,64.52,44.41,54.33,35.06,63.464,30.012,68.502,39.418,59.128,33.361,65.065,29.024,69.425,37.079,61.328,38.518,60.225,31.99,66.64,44.17,54.64
